,num,BRAND,SUBCATEGORIES,SUB_DISTRICT,ADDRESS,CONTACT,TIME,Facebook,Instagram,Homepage,Evidence,Evidence_link
306,357fdfc0-a21d-4895-8ed1-02a73f185219,巴巴站Baba's Station,印度菜/薄餅,荃灣,荃灣海壩街81號,26084270,星期一至日11:30-00:00,babasstation,,https://mansarover.hk,"印度人身分呼籲20/10遊行,轉載民間記者會",https://www.facebook.com/babasstation/posts/2423073087966083
325,39248f0a-cff3-47ee-bf92-57f9cf5778de,Ton's Pastry,糕餅烘焙/麵包或蛋糕/散水禮物,荃灣,荃灣橫窩仔街16-26號順力工業大廈3樓306室,92452442,須預約,tonspastry,tonspastry,https://tonspastry.com,"11-13/11罷市,呼籲前往16/6遊行",https://www.instagram.com/p/B4tClVpg-4g/
338,3ac1516b-030a-4a21-8cfc-8fce45273c00,森美餐廳,西式,荃灣,荃灣西樓角路170-184號華都中心地下A2號鋪,24147177,星期一至日07:00-22:30,cafesammi,cafesammi,,"11/11罷市, 義賣鎖匙扣捐款予星火",https://www.facebook.com/cafesammi/posts/780169115776691
348,3c15c119-556d-45fd-8099-e17deaf3fa92,Cup Of...,台式飲品,荃灣,荃灣昌泰街5號富榮大廈地下1號舖,34604582,"星期日至四12:00-00:00
星期五及六12:00-01:00",cupofhongkong,cupof_cupof,,5/8罷市,https://www.facebook.com/cupofhongkong/photos/706886509814447/?type=3&theater
368,3ebb004e-7be3-44a5-ba0b-3889a53b34da,神石焼きビーフステーキ水產專門店,日本菜/日韓燒肉/海鮮,荃灣,荃灣大河道98號如心廣場商場二期2樓206號舖,57266543,星期一至日11:00-22:00,神石焼きビーフステーキ水產專門店-103070687853085,jinseki.steak,,"捐贈及協助派發米給荃灣劏房戶, 油麻地總店店面貼有文宣, 專頁寫香港加油, 呼籲投票",https://www.facebook.com/Hispitality/photos/741844919656860/?type=3&theater
381,407e9233-65a9-4c03-942d-52b1d8bcfec4,Beans荳子,西式/甜品/意粉/All Day Breakfast/Cafe,荃灣,荃灣海壩街99號地下,27777006,星期一至日11:00-22:30,bean234,beans_cafe_hk,https://www.beanscafe.hk/,"12/6, 16/6支持員工罷市",https://www.facebook.com/bean234/posts/2893053897434210
382,4092ad94-8db1-4c3b-a65a-26ac803d5625,如庫豐生有機食堂 Yu Fu Abundance ,素食/素食零售,荃灣,荃灣沙咀道391-407號寶業大廈B座501室,94800745,"星期二至日12:00-21:30
星期一休息",yufudance,,,"12/6罷市, 6/4「和你包」義賣素糉支持黃色經濟圈, 9/11 免費派發處理催淚煙所引起不適的急救療劑, 「有心人和你Lunch」免費派餐",https://www.facebook.com/yufudance/posts/2878490328908847
394,4333e6a6-0911-403c-bebb-bdf3f23c61c2,茶半香初,台式飲品,荃灣,荃灣鱟地坊華成樓b2舖80-84號,68868482,"星期日至四12:00-22:00
星期五及六12:00-23:00",megatealtdd,mega.tea.hk,https://tasteteamama.com,"義捐患癌良心老闆, 1/10, 6/10罷市,說出「香港人加油」即享半價",https://www.instagram.com/p/B4WZJYnDeuq/
411,47055da4-8506-4855-b64c-7a02fbd98666,ideas Dessert,甜品,荃灣,荃灣荃貴街10A號富麗花園商場A座地下13B及15號舖,37912128,"星期一至四13:00-00:30
星期五至日及公眾假期13:00-01:00",ideasdessert.tw,ideasdessert,,"25/8派發西瓜汁, 17/6, 5/8罷市,店舖連儂牆",https://www.facebook.com/ideasdessert.tw/photos/2488785111187675/?type=3
416,47d0aeae-5d5a-42fc-8392-a5845347e06f,TAP The Ale Project,西式/三文治/酒吧/酒精飲品,荃灣,荃灣白田壩街45號南豐紗廠3樓302號舖,23312621,星期一至日12:00-23:00,thealeproject,thealeproject,https://www.thealeproject.com,5/8有限度服務並開放休息,https://www.facebook.com/thealeproject/photos/2296332163790894/?type=3&theater
490,58aef5d0-0ff0-4289-b589-2d82feb38388,摩芽雞蛋仔 More Eggettes,小食店/茶葉,荃灣,荃灣荃興徑31號地下4A號舖,92088979,星期一至日12:00-22:30,more.eggettes,moreeggetteshk,,"8/12收入全數捐星火, 5/8全線休市, 11/11新蒲崗店休市, 呼籲24/11盡早投票, 專頁貼反送中活動消息及文宣",https://www.instagram.com/p/B50X22Chbq4/
492,599668b2-4b0b-4878-9d60-cb80657beba6,越翠苑,越南菜,荃灣,荃灣德士古道36-60號東亞花園地下A101B號舖,27721299,星期一至日11:00-21:00,vietthuyuyen,,https://www.destinykitchen.com/,11/11罷市,https://www.facebook.com/groups/2701324926545942/permalink/2864211930257240/
496,5a508533-6b52-4cda-b785-47f4a3d0f5dd,hōmu by favilla,西式/Cafe/甜品/意粉/日本菜,荃灣,荃灣青山公路荃灣段398號愉景新城2樓2013號舖,91339428,"星期一至五11:30-22:00
星期六至日11:00-22:00",favillacafehk,favillacafe,http://www.favilla.com.hk,"11/11,13/11罷市,免費派發漂白水",https://www.facebook.com/favillacafehk/posts/2232791183687471
506,5bbc8c64-cd59-4e6f-b503-4dc3d74508b8,小廚美食,小食店/三文治,荃灣,荃灣荃昌中心昌寧大廈1樓5A舖,60317317,"星期一至六11:00-19:00
星期日及公眾假期休息",,,,"荃灣「串燒保」事件捐出5,000及2/11半價義賣,  免費口罩, 貼紙, 卡套",https://etw.nextdigital.com.hk/article/3_60219740
530,60a757e0-8185-4b43-a37a-61b777b33e2d,Aroma Dessert Cafe,甜品/Cafe,荃灣,荃灣鱟地坊38-46號祐強樓地下42號舖,/,"星期二至四15:00-18:30,19:30-23:00
星期五15:00-18:30,19:30-00:00
星期六至日及公眾假期14:00-18:30,19:30-23:00
星期一休息",aromadessertcafe,aromadessertcafe,,"25/8, 11/11-14/11罷市並開放休息, 多次發文支持抗爭",https://www.facebook.com/aromadessertcafe/posts/748864628913134
551,65faf3c7-c199-4a39-9242-8a1e57044534,上海美味一品香菜館,上海菜,荃灣,荃灣享和街43-59號都城大樓地舖,98388001,"星期一,二,四至日12:00-14:00,18:00-23:00",上海美味一品香菜館-520048988171096,55heungwost,,"29/1起暫不招待內地顧客, 2/5休市支持醫護罷市,免費派發漂白水給有需要人士",https://www.facebook.com/520048988171096/photos/1569672699875381/?type=3&theater
611,71f206b1-3b2d-42b7-8bbe-8158dc076387,稻八日式火鍋炸物放題,日本菜/火鍋/放題或自助餐,荃灣,荃灣德海街18號富利達中心1樓,21523988/63473636,"星期一至六17:00-02:00
星期日16:00-01:00",Inahachi-稻八日式火鍋炸物放題-荃灣店-198635187288256,,,"8/11 8時默哀懾念周同學, 12/11, 13/11罷市",https://www.facebook.com/permalink.php?story_fbid=759215681230201&id=198635187288256
617,72f80e0c-c8af-44b6-8ecd-0f0785ff701e,新記冰室,茶餐廳,荃灣,荃灣海壩街83-93號荃好景大廈地下D舖,26680810,"星期日至四11:00-23:30
星期五至六11:00-00:30",,,,店內有大量文宣,https://www.facebook.com/imeatstock/photos/3292678884092546/?type=3&theater
